id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,age,log price,price/sqft,rootprice/sqft,in_expensive_zip,has_basement
7129300520,20141013,221900.0,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,59,12.309982108920686,188.05084745762713,5.236712391460975,0,0
6414100192,20141209,538000.0,3,2.25,2570,7242,2.0,0,0,3,7,2170,400,1951,1991,98125,47.721,-122.319,1690,7639,63,13.195613839143922,209.3385214007782,5.343952661254656,0,1
5631500400,20150225,180000.0,2,1.0,770,10000,1.0,0,0,3,6,770,0,1933,0,98028,47.7379,-122.233,2720,8062,82,12.100712129872347,233.76623376623377,5.454321615024618,0,0
2487200875,20141209,604000.0,4,3.0,1960,5000,1.0,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393,1360,5000,49,13.311329476916953,308.16326530612247,5.730629724692389,0,1
1954400510,20150218,510000.0,3,2.0,1680,8080,1.0,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503,28,13.142166004700508,303.57142857142856,5.715616932303204,0,0
1321400060,20140627,257500.0,3,2.25,1715,6819,2.0,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327,2238,6819,19,12.458774999085929,150.14577259475217,5.011606639485888,0,0
2008000270,20150115,291850.0,3,1.5,1060,9711,1.0,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711,52,12.583995250631936,275.3301886792453,5.617971063525824,0,0
2414600126,20150415,229500.0,3,1.0,1780,7470,1.0,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113,55,12.343658308482738,128.93258426966293,4.859289665196606,0,1
3793500160,20150312,323000.0,3,2.5,1890,6560,2.0,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570,12,12.685407602204794,170.8994708994709,5.141075494151106,0,0
9212900260,20140527,468000.0,2,1.0,1160,6000,1.0,0,0,4,7,860,300,1942,0,98115,47.69,-122.292,1330,6000,72,13.056223574899784,403.44827586206895,6.0000482907993735,0,1
114101516,20140528,310000.0,3,1.0,1430,19901,1.5,0,0,4,7,1430,0,1927,0,98028,47.7558,-122.229,1780,12697,87,12.644327576461329,216.78321678321677,5.378897853207376,0,0
6054650070,20141007,400000.0,3,1.75,1370,9680,1.0,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208,37,12.89921982609012,291.97080291970804,5.676653807267948,0,0
1175000570,20150312,530000.0,5,2.0,1810,4850,1.5,0,0,3,7,1810,0,1900,0,98107,47.67,-122.394,1360,4850,115,13.180632285528304,292.81767955801104,5.679550161268433,0,0
9297300055,20150124,650000.0,4,3.0,2950,5000,2.0,0,3,3,9,1980,970,1979,0,98126,47.5714,-122.375,2140,4000,36,13.38472764187182,220.33898305084745,5.395167192537954,0,1
1875500060,20140731,395000.0,3,2.0,1890,14040,2.0,0,0,3,7,1890,0,1994,0,98019,47.7277,-121.962,1890,14018,20,12.886641043883259,208.994708994709,5.342308935829571,0,0
6865200140,20140529,485000.0,4,1.0,1600,4300,1.5,0,0,4,7,1600,0,1916,0,98103,47.6648,-122.343,1610,4300,98,13.091904169919621,303.125,5.714145261691748,0,0
16000397,20141205,189000.0,2,1.0,1200,9850,1.0,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095,93,12.14950229404178,157.5,5.059425458265688,0,0
7983200060,20150424,230000.0,3,1.0,1250,9774,1.0,0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306,1280,8850,46,12.345834587905333,184.0,5.214935757608986,0,0
6300500875,20140514,385000.0,4,1.75,1620,4980,1.0,0,0,4,7,860,760,1947,0,98133,47.7025,-122.341,1400,4980,67,12.86099861326992,237.65432098765433,5.470817185043492,0,1
2524049179,20140826,2000000.0,3,2.75,3050,44867,1.0,0,4,3,9,2330,720,1968,0,98040,47.5316,-122.233,4110,20336,46,14.508657738524219,655.7377049180328,6.485760868922762,1,1
7137970340,20140703,285000.0,5,2.5,2270,6300,2.0,0,0,3,8,2270,0,1995,0,98092,47.3266,-122.169,2240,7005,19,12.560244459250788,125.55066079295155,4.83270934877534,0,0
8091400200,20140516,252700.0,2,1.5,1070,9643,1.0,0,0,3,7,1070,0,1985,0,98030,47.3533,-122.166,1220,8386,29,12.439958293376286,236.16822429906543,5.464544365920334,0,0
